Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
14000.0,2023-10-08,Cash,Makanan/Minuman,Lauk,Butuh
14000.0,2023-10-08,Cash,Belanja,Telur,Butuh
11000.0,2023-10-09,Cash,Makanan/Minuman,Lauk,Butuh
8500.0,2023-10-09,OVO,Makanan/Minuman,Jus,Butuh
10000.0,2023-10-09,Cash,Makanan/Minuman,Nasi,Butuh
27000.0,2023-10-10,Cash,Kebersihan,Sabun,Butuh
9000.0,2023-10-10,Cash,Makanan/Minuman,Air Minum,Butuh
10000.0,2023-10-10,Cash,Makanan/Minuman,Lauk,Butuh
6000.0,2023-10-10,Cash,Makanan/Minuman,Air Minum,Butuh
7000.0,2023-10-10,Cash,Makanan/Minuman,Lauk,Butuh
9000.0,2023-10-11,Cash,Makanan/Minuman,Lauk,Butuh
8000.0,2023-10-11,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-10-12,Cash,Makanan/Minuman,Bumbu dapur,Butuh
8000.0,2023-10-12,Cash,Makanan/Minuman,Lauk,Butuh
7000.0,2023-10-13,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-10-14,Cash,Makanan/Minuman,Lauk,Butuh
68500.0,2023-10-15,BJB,Belanja,Beras,Butuh
23000.0,2023-10-15,BJB,Belanja,Telur,Butuh
38955.0,2023-10-15,BJB,Makanan/Minuman,Bumbu,Butuh
5000.0,2023-10-15,Cash,Makanan/Minuman,Tempe,Butuh
18500.0,2023-10-15,Cash,Makanan/Minuman,Bumbu,Butuh
8000.0,2023-10-16,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-10-16,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-10-17,Cash,Makanan/Minuman,Lauk,Butuh
237820.0,2023-10-17,Livin,Komunikasi,Wifi,Harus
4000.0,2023-10-17,OVO,Lainnya,Streaming,Ingin
9000.0,2023-10-18,Cash,Makanan/Minuman,Lauk,Butuh
10000.0,2023-10-18,Cash,Makanan/Minuman,Lauk,Butuh
8000.0,2023-10-18,Cash,Makanan/Minuman,Jus,Butuh
6000.0,2023-10-19,Cash,Makanan/Minuman,Air Minum,Butuh
